Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Preu_mitja_habitatge;Valor
2020;1;10;Sant Martí;72;Sant Martí de Provençals;Nou. Milers d'euros;200.0
2020;1;10;Sant Martí;73;la Verneda i la Pau;Nou. Milers d'euros;193.2
2020;1;1;Ciutat Vella;1;el Raval;Usat. Milers d'euros;194.1
2020;1;1;Ciutat Vella;2;el Barri Gòtic;Usat. Milers d'euros;367.7
2020;1;1;Ciutat Vella;3;la Barceloneta;Usat. Milers d'euros;219.4
2020;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Usat. Milers d'euros;304.4
2020;1;2;Eixample;5;el Fort Pienc;Usat. Milers d'euros;501.1
2020;1;2;Eixample;6;la Sagrada Família;Usat. Milers d'euros;239.7
2020;1;2;Eixample;7;la Dreta de l'Eixample;Usat. Milers d'euros;552.8
2020;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Usat. Milers d'euros;460.4
2020;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Usat. Milers d'euros;377.5
2020;1;2;Eixample;10;Sant Antoni;Usat. Milers d'euros;355.0
2020;1;3;Sants-Montjuïc;11;el Poble Sec;Usat. Milers d'euros;233.4
2020;1;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Usat. Milers d'euros;164.7
2020;1;3;Sants-Montjuïc;13;la Marina de Port;Usat. Milers d'euros;183.2
2020;1;3;Sants-Montjuïc;14;la Font de la Guatlla;Usat. Milers d'euros;271.7
2020;1;3;Sants-Montjuïc;15;Hostafrancs;Usat. Milers d'euros;283.9
2020;1;3;Sants-Montjuïc;16;la Bordeta;Usat. Milers d'euros;223.2
2020;1;3;Sants-Montjuïc;17;Sants - Badal;Usat. Milers d'euros;239.2
2020;1;3;Sants-Montjuïc;18;Sants;Usat. Milers d'euros;299.3
2020;1;4;Les Corts;19;les Corts;Usat. Milers d'euros;398.5
2020;1;4;Les Corts;20;la Maternitat i Sant Ramon;Usat. Milers d'euros;408.9
2020;1;4;Les Corts;21;Pedralbes;Usat. Milers d'euros;733.5
2020;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Usat. Milers d'euros;293.8
2020;1;5;Sarrià-Sant Gervasi;23;Sarrià;Usat. Milers d'euros;678.4
2020;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Usat. Milers d'euros;781.1
2020;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Usat. Milers d'euros;599.2
2020;1;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Usat. Milers d'euros;699.1
2020;1;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Usat. Milers d'euros;496.9
2020;1;6;Gràcia;28;Vallcarca i els Penitents;Usat. Milers d'euros;363.1
2020;1;6;Gràcia;29;el Coll;Usat. Milers d'euros;337.7
2020;1;6;Gràcia;30;la Salut;Usat. Milers d'euros;334.0
2020;1;6;Gràcia;31;la Vila de Gràcia;Usat. Milers d'euros;411.3
2020;1;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Usat. Milers d'euros;335.2
2020;1;7;Horta-Guinardó;33;el Baix Guinardó;Usat. Milers d'euros;273.2
2020;1;7;Horta-Guinardó;34;Can Baró;Usat. Milers d'euros;214.4
2020;1;7;Horta-Guinardó;35;el Guinardó;Usat. Milers d'euros;242.9
2020;1;7;Horta-Guinardó;36;la Font d'en Fargues;Usat. Milers d'euros;337.5
2020;1;7;Horta-Guinardó;37;el Carmel;Usat. Milers d'euros;157.7
2020;1;7;Horta-Guinardó;38;la Teixonera;Usat. Milers d'euros;154.2
2020;1;7;Horta-Guinardó;39;Sant Genís dels Agudells;Usat. Milers d'euros;165.8
2020;1;7;Horta-Guinardó;40;Montbau;Usat. Milers d'euros;197.8
2020;1;7;Horta-Guinardó;41;la Vall d'Hebron;Usat. Milers d'euros;301.5
2020;1;7;Horta-Guinardó;42;la Clota;Usat. Milers d'euros;
2020;1;7;Horta-Guinardó;43;Horta;Usat. Milers d'euros;240.6
2020;1;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Usat. Milers d'euros;206.8
2020;1;8;Nou Barris;45;Porta;Usat. Milers d'euros;223.0
2020;1;8;Nou Barris;46;el Turó de la Peira;Usat. Milers d'euros;158.5
2020;1;8;Nou Barris;47;Can Peguera;Usat. Milers d'euros;123.7
2020;1;8;Nou Barris;48;la Guineueta;Usat. Milers d'euros;203.3
2020;1;8;Nou Barris;49;Canyelles;Usat. Milers d'euros;180.0
2020;1;8;Nou Barris;50;les Roquetes;Usat. Milers d'euros;173.1
2020;1;8;Nou Barris;51;Verdun;Usat. Milers d'euros;159.7
2020;1;8;Nou Barris;52;la Prosperitat;Usat. Milers d'euros;155.1
2020;1;8;Nou Barris;53;la Trinitat Nova;Usat. Milers d'euros;99.1
2020;1;8;Nou Barris;54;Torre Baró;Usat. Milers d'euros;
2020;1;8;Nou Barris;55;Ciutat Meridiana;Usat. Milers d'euros;104.5
2020;1;8;Nou Barris;56;Vallbona;Usat. Milers d'euros;
2020;1;9;Sant Andreu;57;la Trinitat Vella;Usat. Milers d'euros;180.3
2020;1;9;Sant Andreu;58;Baró de Viver;Usat. Milers d'euros;262.5
2020;1;9;Sant Andreu;59;el Bon Pastor;Usat. Milers d'euros;128.8
2020;1;9;Sant Andreu;60;Sant Andreu;Usat. Milers d'euros;242.8
2020;1;9;Sant Andreu;61;la Sagrera;Usat. Milers d'euros;257.7
2020;1;9;Sant Andreu;62;el Congrés i els Indians;Usat. Milers d'euros;247.1
2020;1;9;Sant Andreu;63;Navas;Usat. Milers d'euros;353.2
2020;1;10;Sant Martí;64;el Camp de l'Arpa del Clot;Usat. Milers d'euros;331.2
2020;1;10;Sant Martí;65;el Clot;Usat. Milers d'euros;417.6
2020;1;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Usat. Milers d'euros;438.3
2020;1;10;Sant Martí;67;la Vila Olímpica del Poblenou;Usat. Milers d'euros;620.0
2020;1;10;Sant Martí;68;el Poblenou;Usat. Milers d'euros;338.0
2020;1;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Usat. Milers d'euros;768.8
2020;1;10;Sant Martí;70;el Besòs i el Maresme;Usat. Milers d'euros;198.6
2020;1;10;Sant Martí;71;Provençals del Poblenou;Usat. Milers d'euros;347.0
2020;1;10;Sant Martí;72;Sant Martí de Provençals;Usat. Milers d'euros;291.4
2020;1;10;Sant Martí;73;la Verneda i la Pau;Usat. Milers d'euros;164.4
2020;1;1;Ciutat Vella;1;el Raval;Total. Euros/m2 construït;3777.5
2020;1;1;Ciutat Vella;2;el Barri Gòtic;Total. Euros/m2 construït;3754.5
2020;1;1;Ciutat Vella;3;la Barceloneta;Total. Euros/m2 construït;4768.5
2020;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Total. Euros/m2 construït;4354.0
2020;1;2;Eixample;5;el Fort Pienc;Total. Euros/m2 construït;4920.4
2020;1;2;Eixample;6;la Sagrada Família;Total. Euros/m2 construït;4563.1
2020;1;2;Eixample;7;la Dreta de l'Eixample;Total. Euros/m2 construït;4784.0
2020;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Total. Euros/m2 construït;4995.2
2020;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Total. Euros/m2 construït;5175.2
2020;1;2;Eixample;10;Sant Antoni;Total. Euros/m2 construït;4056.6
