"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"120","D'Angelo Russell","Lal","G","27","4","24.9","23.2","12.2","13","0.769","26","0.5","17","0.353","0.512","0.554","13.5","3.5","5","0.3","0","1.5","17","18.5","22","9.9","115.6","113"
"121","Malik Beasley","Uta","G","26.3","55","26.7","21.3","8.2","44","0.841","198","0.485","471","0.359","0.522","0.535","13.4","3.6","1.7","0.8","0.1","1.1","17","15.1","18.7","6.5","107.5","114.8"
"122","Markelle Fultz","Orl","G","24.8","45","29.5","20.9","17.8","110","0.791","430","0.535","60","0.3","0.524","0.558","13.4","4","5.5","1.5","0.4","2.4","17.4","18.8","22.9","9","111.9","109.7"
"123","Immanuel Quickley","Nyk","G","23.7","66","28.1","19.6","9.6","166","0.819","357","0.527","343","0.364","0.536","0.574","13.4","4","3.2","0.9","0.2","1.1","17.5","16.6","20.7","7.9","120.9","109.5"
"124","Jalen Williams","Okc","G-F","21.9","60","29.5","17.9","13.2","137","0.766","441","0.585","166","0.349","0.568","0.596","13.3","4.2","3.1","1.4","0.5","1.5","17.5","16.4","20.6","7.6","117.4","109.2"
"125","Eric Gordon","Hou","G","34.2","47","30.2","18.1","14.8","135","0.815","233","0.536","245","0.347","0.528","0.572","13.1","2.1","2.9","0.6","0.4","1.8","15.1","16","18","5.7","112.4","121.6"
"126","Rui Hachimura","Was","F","25.1","30","24.3","23.1","10","58","0.759","235","0.545","89","0.337","0.534","0.558","13","4.3","1.2","0.4","0.4","1.2","17.3","14.2","18.4","6.7","106.6","113"
"127","John Collins","Atl","F-C","25.5","56","30.3","17","10.8","136","0.816","374","0.631","180","0.261","0.553","0.59","12.9","6.6","1.1","0.6","1.1","1.2","19.6","14.1","20.7","6","114.6","107.3"
"128","Alec Burks","Det","G","31.6","51","22","22.7","11.2","188","0.814","220","0.459","239","0.414","0.544","0.602","12.8","3.1","2.2","0.7","0.2","1.1","15.9","15","18.1","8.1","119.7","112.3"
"129","Trey Murphy III","Nor","F","22.7","63","29.5","15.9","7.7","124","0.911","230","0.604","357","0.389","0.592","0.63","12.8","3.7","1.4","1","0.5","0.8","16.5","14.2","17.9","5.5","125.1","110.3"
"130","Kris Dunn","Uta","G","29","6","23.4","20.9","11.9","7","0.714","43","0.581","16","0.438","0.602","0.612","12.7","4.2","4.3","1.7","0.5","1.3","16.8","17","21.2","10.5","124.8","103.2"
"131","Lonnie Walker IV","Lal","G-F","24.2","49","25.2","20.1","8.4","100","0.87","268","0.519","233","0.365","0.532","0.569","12.7","2.1","1.3","0.6","0.3","0.9","14.8","13.9","16","5.2","110.2","113.1"
"132","Dennis Schroder","Lal","G","29.5","52","31","17.9","14.3","192","0.875","335","0.46","182","0.33","0.472","0.545","12.6","2.6","4.7","0.7","0.1","1.7","15.2","17.3","19.9","6.9","111.9","111"
"133","Tre Jones","San","G","23.2","54","29.1","19.8","13.1","129","0.891","470","0.483","134","0.269","0.465","0.512","12.5","3.6","6.2","1.3","0.1","1.7","16.1","18.7","22.3","9","112.4","118.8"
"134","Cole Anthony","Orl","G","22.8","46","25.2","21.3","13","133","0.88","295","0.502","152","0.336","0.502","0.56","12.3","4.5","4.1","0.6","0.6","1.5","16.8","16.4","20.9","9.7","116.1","106.6"
"135","Nic Claxton","Bro","F-C","23.9","61","29.2","15.6","14.7","201","0.512","457","0.711","2","0","0.708","0.688","12.3","9.1","1.7","0.8","2.6","1.3","21.5","14.1","23.2","7.9","131.8","105"
"136","Malik Beasley","Lal","G","26.3","10","26.5","21.2","10","8","0.625","38","0.474","79","0.342","0.5","0.506","12.2","3.8","1.7","1.2","0","1.3","16","13.9","17.7","6.5","97.1","108.2"
"137","Mason Plumlee","Cha","F-C","33","56","28.5","15.6","17.8","256","0.605","396","0.669","0","0","0.669","0.673","12.2","9.6","3.7","0.6","0.6","1.5","21.9","15.9","25.5","10.6","134.1","106.5"
"138","Thomas Bryant","Lal","C-F","25.6","41","21.3","18.2","8.5","108","0.741","251","0.697","50","0.44","0.691","0.712","12.1","6.8","0.7","0.3","0.6","0.7","18.9","12.8","19.6","7.3","138.2","105.5"
