"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"268","Jarred Vanderbilt","Lal","F","23.9","10","24.2","13.4","17.1","16","0.813","48","0.604","10","0.2","0.552","0.592","7.7","8.2","2.1","1.4","0.3","1.2","15.9","9.8","18","8.4","121.3","103.1"
"269","Kevin Love","Mia","F-C","34.5","7","22.2","16.7","12.6","8","0.875","15","0.733","33","0.242","0.479","0.514","7.6","7.4","1.9","0.6","0.3","1","15","9.4","16.9","8.6","106.7","101.6"
"270","Torrey Craig","Pho","F","32.2","63","25.3","13","13.5","37","0.73","202","0.5","203","0.399","0.549","0.56","7.5","5.6","1.5","0.7","0.6","1","13.1","9","14.6","6.3","115.6","106.7"
"271","Matisse Thybulle","Por","G-F","26","10","30.4","10.2","8.5","2","0.5","20","0.5","44","0.409","0.578","0.578","7.5","4.2","1.8","1.8","1.1","0.6","11.7","9.3","13.5","5.1","124.6","110"
"272","Nickeil Alexander-Walker","Min","G","24.5","8","16.6","18.4","7.4","7","0.571","23","0.348","27","0.481","0.55","0.556","7.4","2","1.5","0.4","0.5","0.5","9.4","8.9","10.9","6.8","113.6","111.1"
"273","Jeremiah Robinson-Earl","Okc","F","22.3","34","20.2","14.8","7.5","38","0.816","114","0.561","95","0.326","0.529","0.558","7.4","4.5","1","0.6","0.3","0.5","11.9","8.4","12.9","6.4","122.8","109.8"
"274","Edmond Sumner","Bro","G","27.2","46","14.6","22.1","15.2","95","0.926","165","0.515","81","0.346","0.516","0.594","7.4","1.6","1.4","0.7","0.2","1","9","8.9","10.4","7","112.6","106.8"
"275","Mo Bamba","Orl","C","24.8","40","17","16.4","9.3","51","0.686","106","0.594","108","0.398","0.596","0.613","7.3","4.6","1.1","0.3","1","0.6","11.9","8.3","12.9","7.8","125.5","102.9"
"276","Troy Brown Jr.","Lal","G-F","23.6","60","24.6","12.3","10.1","31","0.935","157","0.522","218","0.376","0.547","0.565","7.3","4.3","1.2","0.8","0.2","0.7","11.6","8.5","12.7","5.5","113.1","110.1"
"277","Reggie Jackson","Den","G","32.9","7","21","20.9","11.7","6","0.667","26","0.269","34","0.324","0.392","0.407","7.3","1.6","3.4","0.7","0.1","1.1","8.9","10.7","12.3","6.5","93.3","111.3"
"278","Luke Kennard","Mem","G","26.7","8","22","11.8","10.5","8","1","10","0.1","32","0.5","0.595","0.637","7.3","2.4","2","0.1","0","0.6","9.6","9.3","11.6","5.9","129.1","109.9"
"279","Romeo Langford","San","G-F","23.4","33","20","15.7","9.9","39","0.641","161","0.547","48","0.271","0.514","0.531","7.3","2.8","1.3","0.5","0.3","0.7","10.1","8.6","11.4","6","112.1","116.7"
"280","Reggie Bullock","Dal","G-F","32","64","30.3","10","7.5","35","0.686","59","0.525","323","0.378","0.56","0.569","7.1","3.5","1.4","0.8","0.2","0.5","10.5","8.4","11.9","4.3","115.3","112.1"
"281","Ty Jerome","Gol","G-F","25.7","42","18.5","15.1","11.1","39","0.923","149","0.557","84","0.381","0.562","0.596","7.1","1.8","3.1","0.5","0.1","0.7","8.9","10.2","12","7.4","125.4","111.4"
"282","Delon Wright","Was","G","30.9","37","24.2","12.4","15.1","40","0.9","115","0.557","87","0.379","0.562","0.599","7.1","3.4","4","2.1","0.4","1","10.5","11.1","14.5","7.6","129.1","110.3"
"283","Bones Hyland","Lac","G","22.5","5","14.2","27.3","7.4","10","0.8","19","0.316","18","0.278","0.365","0.423","7","3.6","1.6","0.6","0","0.6","10.6","8.6","12.2","9.7","99.8","91.3"
"284","Anthony Lamb","Gol","F","25.1","50","20.1","13.9","15","45","0.733","91","0.659","174","0.379","0.6","0.616","7","3.4","1.7","0.5","0.3","0.9","10.4","8.8","12.2","6.8","118.7","106.7"
"285","Kevon Looney","Gol","F","27.1","66","23.3","10.5","11.1","118","0.602","295","0.668","1","0","0.666","0.668","7","9","2.4","0.5","0.6","0.6","16","9.5","18.4","9.1","150.6","102.2"
"286","Eugene Omoruyi","Det","F","26.1","3","12.6","23.6","11.5","9","0.889","11","0.455","4","0.25","0.433","0.554","7","2.3","0.3","0.3","0","0.7","9.3","7.3","9.7","5.4","118.1","112.7"
"287","Joshua Primo","San","G","20.2","4","23.4","18.2","29.5","9","0.778","14","0.429","12","0.25","0.404","0.467","7","3.3","4.5","0.3","0.5","2.8","10.3","11.5","14.8","8","90.4","116.2"
"288","Daniel Theis","Ind","F-C","30.9","7","15.5","20.2","6.4","12","0.417","33","0.576","11","0.182","0.5","0.497","7","3.1","1.3","0.3","0.9","0.4","10.1","8.3","11.4","7.9","107.9","115.1"
"289","Terence Davis","Sac","G","25.8","51","13.4","21.7","13.3","35","0.886","100","0.56","186","0.371","0.558","0.581","6.9","2.3","1.2","0.7","0.2","0.9","9.2","8","10.3","8","109.1","103.3"
"290","Josh Okogie","Pho","G","24.5","56","16.4","18.9","14.5","127","0.724","161","0.478","139","0.331","0.487","0.54","6.9","3.3","1.2","0.8","0.4","0.9","10.2","8.1","11.4","7.3","113.1","107"
"291","Ben Simmons","Bro","G-F","26.6","42","26.3","14.4","29.2","57","0.439","233","0.571","2","0","0.566","0.559","6.9","6.3","6.1","1.3","0.5","2.3","13.2","13","19.3","9.8","111.4","101.5"
"292","Aaron Wiggins","Okc","G-F","24.2","54","19.1","14.4","13.5","55","0.8","192","0.563","97","0.381","0.566","0.592","6.9","3.1","1.3","0.6","0.2","0.8","10","8.2","11.3","6.3","117.9","110.6"
"293","James Wiseman","Gol","C","21.9","21","12.5","20","12.9","38","0.684","92","0.63","2","0.5","0.633","0.655","6.9","3.5","0.7","0.1","0.3","0.7","10.4","7.6","11","8.2","123.2","101.3"
"294","Brandon Boston Jr.","Lac","G","21.3","21","11.7","26.5","9","38","0.763","92","0.424","29","0.414","0.471","0.519","6.8","1.4","0.9","0.4","0","0.6","8.2","7.7","9.1","7","105.8","109.2"
"295","Evan Fournier","Nyk","G-F","30.4","23","18","18.6","11.2","21","0.857","49","0.408","102","0.324","0.46","0.49","6.8","2","1.5","0.6","0.1","0.8","8.8","8.3","10.3","6.1","102.5","106.5"
"296","Luka Garza","Min","C","24.2","24","8.9","27.1","9.6","50","0.8","67","0.627","36","0.361","0.597","0.652","6.8","2.4","0.6","0.1","0.1","0.5","9.2","7.4","9.8","9.6","132.7","101.5"
"297","Joe Ingles","Mil","F-G","35.4","32","22.5","13.1","17.1","17","0.824","39","0.59","140","0.371","0.564","0.579","6.8","2.9","3","0.6","0.2","1.2","9.6","9.8","12.6","6.9","114.9","106.1"
"298","Dwight Powell","Dal","F-C","31.6","62","19.9","12.6","20.4","145","0.69","219","0.735","3","0","0.725","0.738","6.8","4.3","0.8","0.7","0.4","0.9","11.1","7.6","11.9","5.7","141.1","103.4"
"299","Justise Winslow","Por","F-G","27","29","26.8","14.3","17.8","28","0.714","153","0.438","45","0.311","0.444","0.466","6.8","5","3.4","1","0.4","1.5","11.8","10.1","15.1","7.3","105.1","107.9"
"300","Kendrick Nunn","Lal","G","27.6","39","13.5","23.3","11","21","0.81","125","0.488","126","0.325","0.488","0.503","6.7","1.4","0.9","0.3","0.1","0.8","8.1","7.6","9","6","95.1","111.4"
"301","Duncan Robinson","Mia","F","28.9","33","17.3","17.5","9.7","25","0.92","36","0.528","158","0.335","0.508","0.537","6.7","1.8","1.2","0.4","0","0.6","8.5","7.8","9.7","5.6","107","104.9"
"302","Dorian Finney-Smith","Bro","F","29.8","11","29.3","13.6","12.5","6","0.667","29","0.517","55","0.236","0.411","0.421","6.6","5.6","1.8","0.5","0.5","1.1","12.3","8.5","14.1","5.5","94.8","110"
"303","Isaiah Jackson","Ind","F","21.2","48","15.3","17.5","15","105","0.648","209","0.584","12","0.167","0.566","0.595","6.6","3.9","0.9","0.4","1.5","0.8","10.6","7.5","11.4","7.5","118.6","105.1"
"304","Kendrick Nunn","Was","G","27.6","18","15","20.4","15.5","10","0.9","56","0.518","47","0.362","0.529","0.549","6.6","1.7","1.9","0.5","0","1.1","8.3","8.4","10.2","7.4","106.2","113.2"
"305","Julian Champagnie","San","F","21.7","2","11.8","15.9","0","0","0","2","1","7","0.429","0.722","0.722","6.5","2.5","0.5","0","0","0","9","7","9.5","6.8","147","120.2"
"306","Goran Dragic","Chi","G","36.8","50","15.6","20.9","15.6","41","0.659","170","0.482","128","0.352","0.502","0.516","6.5","1.4","2.8","0.2","0.1","1.1","7.9","9.3","10.7","7.5","103.9","110.5"
"307","Jaden Hardy","Dal","G","20.7","33","11.8","25.1","13.4","49","0.878","92","0.5","76","0.355","0.515","0.57","6.5","1.3","0.8","0.3","0.1","0.8","7.8","7.4","8.7","6.4","105.6","108.7"
"308","Jock Landale","Pho","C","27.4","57","14.2","19.1","15.3","95","0.768","193","0.617","78","0.244","0.544","0.588","6.5","4.1","0.9","0.2","0.5","0.9","10.6","7.4","11.5","8.1","119.1","102.7"
"309","Patrick Beverley","Lal","G","34.7","45","26.9","10.6","14.8","50","0.78","83","0.506","158","0.348","0.517","0.548","6.4","3.1","2.6","0.9","0.6","0.9","9.5","9","12.1","5.5","112.1","107"
"310","Maxi Kleber","Dal","F","31.1","25","25.4","10.1","9.8","20","0.6","45","0.711","75","0.373","0.617","0.621","6.4","3.6","1.1","0.3","0.9","0.5","10","7.5","11.1","4.6","124.1","111"
"311","Nassir Little","Por","F-G","23.1","45","17.5","14.9","9.9","35","0.657","100","0.55","127","0.409","0.586","0.596","6.4","2.6","1","0.4","0.4","0.6","9","7.4","10","5.8","116.9","114.4"
"312","Isaac Okoro","Cle","F-G","22.1","68","21.3","12.3","10.9","96","0.75","163","0.626","154","0.351","0.577","0.61","6.4","2.5","1.1","0.7","0.4","0.6","8.9","7.6","10.1","4.9","122.3","104.5"
"313","Nickeil Alexander-Walker","Uta","G","24.5","36","14.7","18.4","20.9","39","0.692","83","0.578","87","0.402","0.591","0.609","6.3","1.6","2.1","0.7","0.4","1.3","8","8.4","10.1","7.5","111.5","108.1"
"314","Goga Bitadze","Orl","C-F","23.6","4","10.1","18","0","2","1","13","0.769","3","0.333","0.719","0.741","6.3","4.5","0.8","0.3","0","0","10.8","7","11.5","11.2","164.2","103.7"
"315","JaMychal Green","Gol","F-C","32.7","46","14","18.1","19.3","57","0.737","115","0.652","89","0.36","0.603","0.629","6.3","3.7","0.9","0.4","0.4","1.1","10","7.2","10.9","7.9","115.3","102.4"
"316","Jalen McDaniels","Phi","F-C","25.1","11","17.2","15.6","12.4","23","0.783","39","0.538","10","0.3","0.52","0.584","6.3","3.8","0.8","0.5","0","0.6","10.1","7.1","10.9","6.2","120.2","98.5"
"317","Yuta Watanabe","Bro","G-F","28.4","45","17.5","13","8","39","0.744","85","0.565","111","0.477","0.651","0.666","6.3","2.5","0.8","0.4","0.3","0.4","8.8","7.2","9.6","5.3","130.2","110.8"
"318","Sam Hauser","Bos","F","25.3","65","15.7","14.6","6.9","17","0.706","49","0.653","260","0.415","0.628","0.632","6.2","2.5","0.8","0.3","0.3","0.4","8.7","6.9","9.4","5.9","123.1","107"
"319","Mike Muscala","Okc","F-C","31.7","43","14.5","15.7","6.4","39","0.795","61","0.541","142","0.394","0.576","0.602","6.2","3.1","0.9","0.3","0.4","0.3","9.3","7","10.2","7.1","125","105.7"
"320","Nicolas Batum","Lac","G-F","34.2","64","22","11.8","12.5","44","0.682","58","0.569","256","0.383","0.573","0.585","6.1","4.2","1.4","0.7","0.6","0.7","10.3","7.5","11.7","6","118.1","107.4"
"321","Jae Crowder","Mil","F","32.7","7","18.2","12.3","8.7","7","0.714","10","0.7","21","0.381","0.613","0.631","6.1","3.3","1.3","0.7","0.3","0.4","9.4","7.4","10.7","6.5","130.9","101.5"
"322","Andre Drummond","Chi","C","29.6","53","12.9","21","21.4","96","0.531","222","0.617","2","0","0.612","0.61","6.1","6.7","0.6","0.6","0.3","1.2","12.8","6.7","13.4","9","115.8","93.5"
"323","Drew Eubanks","Por","F-C","26.1","64","19.8","11.2","17.3","98","0.653","227","0.696","7","0.429","0.694","0.702","6.1","5.1","1.2","0.5","1.2","0.8","11.2","7.3","12.4","6.8","136.8","107.4"
"324","Obi Toppin","Nyk","F","25","52","14.6","18.6","9","35","0.771","115","0.522","169","0.331","0.507","0.526","6.1","2.9","0.8","0.3","0.2","0.5","8.9","6.9","9.8","6.6","109.1","109.1"
"325","Jordan Goodwin","Was","G","24.4","47","17.6","15.8","15","49","0.755","164","0.494","73","0.37","0.513","0.541","6","3.3","2.5","1","0.5","0.9","9.2","8.5","11.7","8.3","115.5","106.9"
"326","Sandro Mamukelashvili","San","F-C","23.8","2","16.8","15.4","16.1","1","1","5","0.2","5","0.6","0.55","0.575","6","3","0","0.5","0","1","9","6","9","0","105.4","99.3"
"327","Jordan Nwora","Mil","F","24.5","38","15.7","17.7","14.7","43","0.86","95","0.379","102","0.392","0.487","0.53","6","3.1","1","0.3","0.2","0.9","9.1","7","10.1","6.8","106","108.2"
"328","David Roddy","Mem","F","22","52","16.8","16.7","13.6","50","0.64","142","0.556","144","0.285","0.491","0.508","6","2.5","0.7","0.5","0.2","0.9","8.5","6.7","9.2","5.2","98.6","106"
"329","Xavier Tillman","Mem","F","24.2","45","17.2","13.6","12","70","0.529","183","0.607","15","0.267","0.591","0.592","6","4.6","1.4","0.9","0.4","0.6","10.6","7.4","11.9","7.9","126.5","103.7"
"330","Trendon Watford","Por","F","22.3","50","17.5","14.6","21.7","72","0.722","161","0.615","44","0.386","0.607","0.636","6","3.5","1.9","0.4","0.1","1.1","9.6","7.9","11.4","7.8","117.3","108"
"331","Javonte Green","Chi","G-F","29.6","28","16","14","16.1","43","0.674","70","0.686","34","0.382","0.649","0.667","5.9","2.9","0.8","0.8","0.7","0.7","8.8","6.7","9.6","6","125.1","104"
"332","Stanley Johnson","San","F-G","26.8","30","15.6","15.3","21.1","39","0.667","83","0.578","40","0.45","0.61","0.628","5.9","3.2","2.2","0.5","0.2","1.1","9","8.1","11.3","8.9","117.5","112"
"333","Isaiah Livers","Det","F","24.6","43","21.9","11.2","10.5","28","0.786","50","0.56","162","0.364","0.55","0.568","5.9","2.4","0.7","0.5","0.5","0.6","8.3","6.6","9","3.9","111.1","113.8"
"334","Charles Bassey","San","C-F","22.4","32","14.7","15.8","24.8","33","0.606","117","0.667","7","0.429","0.665","0.668","5.8","5.7","1.3","0.4","0.9","1.3","11.5","7.1","12.8","9.5","119.8","105.5"
"335","Vlatko Cancar","Den","F","25.9","48","16.5","13.8","13.5","34","0.912","103","0.583","102","0.412","0.6","0.63","5.8","2.4","1.5","0.4","0.3","0.7","8.1","7.3","9.7","6.7","122.6","108.4"
"336","Wenyen Gabriel","Lal","F","26","52","14.9","14.7","14.3","63","0.619","179","0.665","30","0.3","0.634","0.642","5.8","3.9","0.4","0.3","0.5","0.7","9.8","6.3","10.2","5.6","124.7","101.6"
"337","Dario Saric","Pho","F","28.9","37","14.4","18.7","16.8","44","0.818","109","0.45","69","0.391","0.503","0.545","5.8","3.8","1.5","0.4","0.1","1","9.6","7.4","11.2","8.9","110.6","101.1"
"338","Robert Covington","Lac","F","32.2","38","16.4","15.5","11.1","34","0.735","69","0.536","114","0.342","0.522","0.546","5.7","3.7","1.2","0.7","0.8","0.6","9.3","6.9","10.6","7.2","112.8","102.7"
"339","Dewayne Dedmon","Mia","C","33.6","30","11.7","21.1","12.8","44","0.727","92","0.576","37","0.297","0.539","0.576","5.7","3.6","0.5","0.2","0.5","0.6","9.3","6.2","9.9","7.4","113.3","94"
"340","R.J. Hampton","Orl","G","22.1","26","13.9","18.1","15.5","37","0.838","61","0.525","53","0.34","0.518","0.572","5.7","1.5","1.3","0.6","0.2","0.8","7.2","7","8.5","6.4","111.5","111.6"
"341","R.J. Hampton","Det","G","22.1","6","14.9","18.3","19.8","8","0.875","14","0.429","14","0.357","0.482","0.539","5.7","1.8","1.2","1.2","0.2","1.2","7.5","6.8","8.7","6.2","98.4","113.4"
"342","Davion Mitchell","Sac","G","24.5","63","18.1","14.1","13.8","25","0.8","163","0.577","150","0.34","0.545","0.557","5.7","1.3","2.2","0.5","0.2","0.8","7","8","9.3","5.6","112.1","112.5"
"343","Mike Muscala","Bos","F-C","31.7","9","17","14.6","10","2","0.5","10","0.7","35","0.343","0.556","0.556","5.7","3.1","0.2","0.4","0.3","0.6","8.8","5.9","9","3.6","102.8","104.3"
"344","Oshae Brissett","Ind","F-G","24.7","51","16","14.9","8.4","89","0.697","106","0.472","124","0.339","0.491","0.535","5.6","3.3","0.5","0.5","0.2","0.4","9","6.2","9.5","5.2","113.2","111.9"
"345","Alex Caruso","Chi","G","29","56","24","11.3","22.8","67","0.821","116","0.526","127","0.362","0.535","0.578","5.6","3.1","3.1","1.6","0.6","1.3","8.8","8.7","11.9","6.3","112.7","103.7"
"346","Kevin Knox II","Det","F","23.6","42","14.1","16.1","15.1","33","0.788","63","0.651","116","0.371","0.589","0.612","5.6","2.6","0.4","0.3","0.3","0.8","8.2","6","8.6","5.1","109.6","108.2"
"347","John Konchar","Mem","G","27","56","21.7","10.6","9.7","31","0.839","120","0.533","150","0.36","0.537","0.557","5.6","4.4","1.4","1","0.3","0.5","10.1","7","11.4","6","118.4","105.3"
"348","Saben Lee","Pho","G","23.7","20","14.6","18.2","19.2","47","0.766","65","0.415","19","0.368","0.446","0.53","5.6","1.9","2.7","0.7","0.1","1","7.4","8.2","10.1","8.4","113.1","107.5"
"349","Theo Maledon","Cha","G","21.7","36","16.1","15.6","18.2","56","0.875","94","0.468","63","0.333","0.481","0.551","5.6","2.4","2.4","0.8","0.2","1","7.9","7.9","10.3","7.9","110.5","111.6"
"350","Patty Mills","Bro","G","34.6","37","13.1","19.2","11","21","0.905","63","0.492","114","0.368","0.531","0.556","5.6","0.9","1.3","0.4","0.1","0.6","6.5","6.9","7.8","5.7","108.7","115.5"
"351","Derrick Rose","Nyk","G","34.4","27","12.5","23.7","12.1","12","0.917","96","0.438","63","0.302","0.443","0.463","5.6","1.5","1.7","0.3","0.2","0.8","7.1","7.3","8.8","7.8","99.2","113"
"352","Jaylin Williams","Okc","F","20.7","34","17.6","13.8","13.6","31","0.71","90","0.467","69","0.406","0.528","0.55","5.6","4.8","1.5","0.4","0.2","0.7","10.4","7.1","11.9","7.8","113.9","103.2"
"353","Cody Zeller","Mia","F-C","30.4","8","14.5","15","23.1","21","0.714","23","0.652","0","0","0.652","0.698","5.6","3.4","0.8","0.3","0.4","0.9","9","6.4","9.8","6.8","130.3","97"
"354","Montrezl Harrell","Phi","F-C","29.1","51","12.3","18.1","14.3","85","0.694","184","0.609","2","0","0.602","0.633","5.5","2.7","0.6","0.3","0.5","0.6","8.3","6.2","8.9","6.7","125.6","104.1"
"355","Jaxson Hayes","Nor","C-F","22.8","39","13.8","15.6","17","76","0.711","109","0.688","27","0.111","0.585","0.629","5.5","2.9","0.8","0.5","0.4","0.7","8.4","6.2","9.1","6.8","120.1","104.2"
"356","Nikola Jovic","Mia","F","19.7","15","13.6","18.9","12.6","19","0.947","34","0.588","35","0.229","0.464","0.53","5.5","2.1","0.7","0.5","0.1","0.7","7.5","6.1","8.2","5.9","105.9","105.5"
"357","Kira Lewis Jr.","Nor","G","21.9","18","11.1","19.5","10.8","18","0.889","46","0.478","28","0.464","0.561","0.604","5.5","1.8","0.9","0.4","0.1","0.5","7.3","6.4","8.2","7.5","119","105.1"
"358","Otto Porter Jr.","Tor","F","29.8","8","18.3","10.9","11.6","8","1","13","0.692","17","0.353","0.6","0.656","5.5","2.4","1","1.4","0","0.5","7.9","6.5","8.9","5.2","132.2","111.9"
"359","Ochai Agbaji","Uta","G","22.9","43","16.6","12.9","8.7","29","0.724","70","0.586","119","0.361","0.558","0.575","5.4","1.7","0.7","0.2","0.1","0.4","7.1","6.1","7.8","4.5","117.9","112.8"
"360","Darius Bazley","Okc","F-G","22.7","36","15.4","15.7","12.2","65","0.554","113","0.469","45","0.4","0.506","0.525","5.4","3.4","0.9","0.5","0.8","0.6","8.8","6.3","9.7","6.6","108.5","110.6"
"361","MarJon Beauchamp","Mil","F","22.4","41","14","18.7","15.3","29","0.724","85","0.494","120","0.317","0.483","0.503","5.3","2.2","0.6","0.4","0.1","0.9","7.6","6","8.2","5.5","98.3","103.7"
"362","Ousmane Dieng","Okc","F","19.8","23","16.2","14.6","11.9","11","0.545","50","0.6","61","0.311","0.527","0.531","5.3","3","1.3","0.4","0.3","0.7","8.3","6.7","9.7","6.8","108","110.5"
"363","Devonte' Graham","Nor","G","28","53","15.3","15","10.5","59","0.746","41","0.463","190","0.347","0.511","0.545","5.3","1.4","2.2","0.6","0.2","0.5","6.6","7.5","8.8","6.6","118.3","111.6"
"364","Justin Holiday","Dal","F-G","33.9","7","19.5","12.9","13.2","2","0","5","0.4","28","0.393","0.561","0.546","5.3","1.9","1","1.1","0.9","0.7","7.1","6.3","8.1","4.4","100.7","105.5"
"365","Jalen Johnson","Atl","F","21.2","60","14.7","15.2","10.4","62","0.661","173","0.578","86","0.302","0.537","0.557","5.3","4","1","0.5","0.4","0.5","9.3","6.3","10.3","7.5","115.5","105.9"
"366","Johnny Juzang","Uta","G","22","4","11.5","22.6","4.2","2","0","6","0.5","17","0.294","0.457","0.44","5.3","0.8","0.3","0.5","0.5","0.3","6","5.5","6.3","3.8","93.5","115.2"
"367","Lamar Stevens","Cle","F","25.7","48","17.7","13.8","9.9","43","0.721","147","0.537","72","0.292","0.505","0.53","5.3","3.2","0.6","0.4","0.3","0.5","8.4","5.8","9","4.9","108.8","106.4"
"368","Josh Christopher","Hou","G","21.3","47","11.3","21.4","17.2","43","0.744","155","0.535","57","0.246","0.491","0.52","5.1","1.1","1","0.4","0.3","0.9","6.2","6.1","7.3","6.3","99.3","115.2"
"369","Rudy Gay","Uta","F-G","36.6","50","14.6","17.2","11.7","42","0.881","138","0.5","110","0.236","0.435","0.475","5.1","3.1","1","0.4","0.3","0.7","8.1","6.1","9.1","6.9","101.5","109.8"
"370","Cory Joseph","Det","G","31.6","47","17","14.3","14.5","45","0.8","114","0.474","98","0.327","0.481","0.518","5.1","1.5","3.3","0.5","0.1","0.8","6.6","8.4","9.9","6.9","115","114.4"
"371","Zeke Nnaji","Den","F-C","22.2","44","13.3","14.6","11.6","54","0.667","107","0.692","45","0.289","0.615","0.634","5.1","2.3","0.3","0.3","0.4","0.5","7.4","5.3","7.6","4.6","126.9","104.3"
"372","Austin Rivers","Min","G","30.6","50","20.1","10.5","10","39","0.769","85","0.565","122","0.352","0.543","0.569","5.1","1.6","1.5","0.6","0.1","0.5","6.7","6.6","8.2","4.6","115.2","111.9"
"373","Lindy Waters III","Okc","F","25.6","29","11.5","15.8","5","15","0.8","9","0.667","105","0.39","0.592","0.609","5.1","1.7","0.7","0.3","0.3","0.2","6.7","5.8","7.4","6.3","126.1","110.4"
"374","Ziaire Williams","Mem","F","21.5","33","15.4","16.6","15.7","17","0.765","82","0.585","84","0.238","0.47","0.487","5.1","2.2","0.8","0.4","0.2","0.9","7.3","5.9","8","5.4","92.3","103.8"
"375","Patrick Baldwin Jr.","Gol","F","20.3","22","8.5","22.9","9","6","0.667","21","0.429","70","0.414","0.577","0.582","5","1.5","0.3","0.3","0.1","0.4","6.5","5.2","6.7","6.2","103.4","111.9"
"376","Thomas Bryant","Den","C-F","25.6","10","12.5","17.2","14.2","17","0.706","33","0.485","3","0.667","0.528","0.575","5","3.9","0","0.2","0.5","0.6","8.9","5","8.9","0","112.6","102.2"
"377","Isaiah Hartenstein","Nyk","C-F","24.8","67","19.4","11.6","16.5","56","0.75","239","0.561","34","0.235","0.535","0.561","5","6.5","0.9","0.5","0.8","0.8","11.5","5.9","12.4","6.4","123.1","100.6"
"378","George Hill","Mil","G","36.8","35","19.1","11.3","16.9","46","0.739","58","0.621","74","0.311","0.534","0.575","5","1.9","2.5","0.5","0.1","0.8","6.9","7.5","9.5","6","121","109"
"379","Jonathan Isaac","Orl","F","25.4","11","11.3","21.2","7","9","0.556","38","0.421","15","0.4","0.472","0.483","5","4","0.5","1.3","0.4","0.4","9","5.5","9.5","7.6","108.5","105.5"
"380","Damian Jones","Uta","C","27.7","5","15.7","9.7","18.3","5","0.8","12","0.75","1","1","0.808","0.822","5","3.8","0.6","0","1.2","0.6","8.8","5.6","9.4","5.7","146.4","105.2"
"381","Cody Martin","Cha","F","27.4","7","19.1","12.9","5.2","7","0.571","22","0.5","14","0.214","0.431","0.448","5","3.4","1.6","0.6","0.1","0.3","8.4","6.6","10","6.3","108.3","109.4"
"382","Chimezie Metu","Sac","F-C","26","51","11.1","17","13.6","45","0.733","145","0.69","32","0.25","0.633","0.653","5","3.2","0.7","0.3","0.3","0.5","8.2","5.8","8.9","8.1","125.8","104.6"
"383","Chuma Okeke","Orl","F","24.6","21","19.5","11.7","9.8","21","0.762","28","0.5","64","0.313","0.478","0.514","5","3.7","1.2","0.6","0.4","0.5","8.7","6.2","9.9","5.8","114.4","108.6"
"384","Derrick Jones Jr.","Chi","F","26.1","51","14","13.9","10.6","68","0.794","121","0.595","55","0.327","0.563","0.612","4.9","2.4","0.6","0.4","0.6","0.4","7.4","5.5","8","5.5","126.2","106.5"
"385","Eugene Omoruyi","Okc","F","26.1","23","11.8","18.7","14.5","28","0.607","63","0.571","31","0.258","0.511","0.531","4.9","2.3","0.5","0.6","0","0.7","7.2","5.4","7.7","6","105.4","100"
"386","Ricky Rubio","Cle","G","32.4","20","16.2","17.8","14.2","22","0.727","48","0.354","54","0.296","0.402","0.439","4.9","2.2","3.3","1.1","0.2","0.9","7.1","8.2","10.4","8.1","103.4","102.1"
"387","Blake Wesley","San","G","20","21","15.1","18.7","24.6","21","0.619","74","0.338","27","0.481","0.441","0.463","4.9","1.9","1.6","0.5","0","1.6","6.7","6.4","8.3","6.5","83","110.9"
"388","Malachi Flynn","Tor","G","24.8","43","13.7","16.5","8.2","24","0.708","89","0.36","111","0.378","0.475","0.492","4.8","1.5","1.5","0.4","0.1","0.4","6.3","6.3","7.8","6.5","109.3","109.7"
"389","DeAndre Jordan","Den","C","34.6","35","14.3","13.7","30.2","41","0.439","96","0.771","1","1","0.778","0.735","4.8","4.8","0.9","0.2","0.6","1.2","9.6","5.7","10.5","7.7","116","101.1"
"390","Garrison Mathews","Hou","G","26.4","45","13.4","14.3","9.6","45","0.911","15","0.467","155","0.342","0.509","0.564","4.8","1.4","0.5","0.5","0.1","0.4","6.1","5.3","6.6","4.5","116.7","113"
"391","Dean Wade","Cle","F-C","26.3","37","20.3","10.2","8.6","23","0.652","43","0.558","105","0.362","0.547","0.56","4.8","3.5","0.9","0.6","0.5","0.4","8.3","5.6","9.2","4.9","115.1","101.4"
"392","Jamal Cain","Mia","F","24","14","13.3","14.5","7.4","16","0.75","38","0.632","12","0.167","0.54","0.579","4.7","2.8","0.6","0.6","0","0.3","7.5","5.4","8.1","6","123.5","105.3"
"393","Payton Pritchard","Bos","G","25.1","45","12.5","18.9","13.1","15","0.733","78","0.487","127","0.331","0.493","0.503","4.7","1.5","1","0.3","0","0.7","6.2","5.8","7.3","6.1","100.8","110.3"
"394","TyTy Washington Jr.","Hou","G","21.3","29","13.8","18","8.4","16","0.625","77","0.494","76","0.224","0.415","0.428","4.7","1.4","1.6","0.4","0.1","0.5","6.1","6.3","7.8","6.4","98","115.9"
"395","Moses Brown","Lac","C","23.4","34","8.5","21.5","12.7","72","0.458","96","0.635","0","0","0.635","0.607","4.6","4.1","0.1","0.1","0.4","0.4","8.6","4.7","8.8","5.8","125.8","100.2"
