,year,state,month,number,date,risc
3047,2016,Minas Gerais,Setembro,2.093,2016-01-01,low
3048,2017,Minas Gerais,Setembro,4.697,2017-01-01,low
3049,1998,Minas Gerais,Outubro,1.093,1998-01-01,low
3050,1999,Minas Gerais,Outubro,1.363,1999-01-01,low
3051,2000,Minas Gerais,Outubro,1.954,2000-01-01,low
3052,2001,Minas Gerais,Outubro,528.0,2001-01-01,medium
3053,2002,Minas Gerais,Outubro,4.788,2002-01-01,low
3054,2003,Minas Gerais,Outubro,5.391,2003-01-01,low
3055,2004,Minas Gerais,Outubro,2.736,2004-01-01,low
3056,2005,Minas Gerais,Outubro,6.546,2005-01-01,low
3057,2006,Minas Gerais,Outubro,616.0,2006-01-01,medium
3058,2007,Minas Gerais,Outubro,3.467,2007-01-01,low
3059,2008,Minas Gerais,Outubro,3.787,2008-01-01,low
3060,2009,Minas Gerais,Outubro,1.013,2009-01-01,low
3061,2010,Minas Gerais,Outubro,2.048,2010-01-01,low
3062,2011,Minas Gerais,Outubro,1.206,2011-01-01,low
3063,2012,Minas Gerais,Outubro,3.97,2012-01-01,low
3064,2013,Minas Gerais,Outubro,1.221,2013-01-01,low
3065,2014,Minas Gerais,Outubro,4.735,2014-01-01,low
3066,2015,Minas Gerais,Outubro,3.708,2015-01-01,low
3067,2016,Minas Gerais,Outubro,948.0,2016-01-01,high
3068,2017,Minas Gerais,Outubro,3.062,2017-01-01,low
3069,1998,Minas Gerais,Novembro,32.0,1998-01-01,low
3070,1999,Minas Gerais,Novembro,271.0,1999-01-01,low
3071,2000,Minas Gerais,Novembro,43.0,2000-01-01,low
3072,2001,Minas Gerais,Novembro,62.0,2001-01-01,low
3073,2002,Minas Gerais,Novembro,417.0,2002-01-01,medium
3074,2003,Minas Gerais,Novembro,399.0,2003-01-01,low
3075,2004,Minas Gerais,Novembro,914.0,2004-01-01,high
3076,2005,Minas Gerais,Novembro,422.0,2005-01-01,medium
3077,2006,Minas Gerais,Novembro,59.0,2006-01-01,low
3078,2007,Minas Gerais,Novembro,1.305,2007-01-01,low
3079,2008,Minas Gerais,Novembro,892.0,2008-01-01,high
3080,2009,Minas Gerais,Novembro,246.0,2009-01-01,low
3081,2010,Minas Gerais,Novembro,82.0,2010-01-01,low
3082,2011,Minas Gerais,Novembro,153.0,2011-01-01,low
3083,2012,Minas Gerais,Novembro,220.0,2012-01-01,low
3084,2013,Minas Gerais,Novembro,277.0,2013-01-01,low
3085,2014,Minas Gerais,Novembro,398.0,2014-01-01,low
3086,2015,Minas Gerais,Novembro,1.453,2015-01-01,low
3087,2016,Minas Gerais,Novembro,126.0,2016-01-01,low
3088,2017,Minas Gerais,Novembro,136.0,2017-01-01,low
3089,1998,Minas Gerais,Dezembro,21.0,1998-01-01,low
3090,1999,Minas Gerais,Dezembro,32.0,1999-01-01,low
3091,2000,Minas Gerais,Dezembro,14.0,2000-01-01,low
3092,2001,Minas Gerais,Dezembro,44.0,2001-01-01,low
3093,2002,Minas Gerais,Dezembro,225.0,2002-01-01,low
3094,2003,Minas Gerais,Dezembro,225.0,2003-01-01,low
3095,2004,Minas Gerais,Dezembro,125.0,2004-01-01,low
3096,2005,Minas Gerais,Dezembro,65.0,2005-01-01,low
3097,2006,Minas Gerais,Dezembro,32.0,2006-01-01,low
3098,2007,Minas Gerais,Dezembro,95.0,2007-01-01,low
3099,2008,Minas Gerais,Dezembro,25.0,2008-01-01,low
3100,2009,Minas Gerais,Dezembro,108.0,2009-01-01,low
3101,2010,Minas Gerais,Dezembro,105.0,2010-01-01,low
3102,2011,Minas Gerais,Dezembro,43.0,2011-01-01,low
3103,2012,Minas Gerais,Dezembro,189.0,2012-01-01,low
3104,2013,Minas Gerais,Dezembro,98.0,2013-01-01,low
3105,2014,Minas Gerais,Dezembro,155.0,2014-01-01,low
3106,2015,Minas Gerais,Dezembro,295.0,2015-01-01,low
3107,2016,Minas Gerais,Dezembro,91.0,2016-01-01,low
3108,1998,Pará,Janeiro,0.0,1998-01-01,low
3109,1999,Pará,Janeiro,87.0,1999-01-01,low
3110,2000,Pará,Janeiro,30.0,2000-01-01,low
3111,2001,Pará,Janeiro,34.0,2001-01-01,low
3112,2002,Pará,Janeiro,144.0,2002-01-01,low
3113,2003,Pará,Janeiro,900.0,2003-01-01,high
3114,2004,Pará,Janeiro,579.0,2004-01-01,medium
3115,2005,Pará,Janeiro,1.768,2005-01-01,low
3116,2006,Pará,Janeiro,403.0,2006-01-01,medium
3117,2007,Pará,Janeiro,467.0,2007-01-01,medium
3118,2008,Pará,Janeiro,131.0,2008-01-01,low
3119,2009,Pará,Janeiro,241.0,2009-01-01,low
3120,2010,Pará,Janeiro,437.0,2010-01-01,medium
3121,2011,Pará,Janeiro,108.0,2011-01-01,low
3122,2012,Pará,Janeiro,392.0,2012-01-01,low
3123,2013,Pará,Janeiro,167.0,2013-01-01,low
3124,2014,Pará,Janeiro,251.0,2014-01-01,low
3125,2015,Pará,Janeiro,725.0,2015-01-01,medium
3126,2016,Pará,Janeiro,1.322,2016-01-01,low
3127,2017,Pará,Janeiro,219.0,2017-01-01,low
3128,1998,Pará,Fevereiro,0.0,1998-01-01,low
3129,1999,Pará,Fevereiro,285.0,1999-01-01,low
3130,2000,Pará,Fevereiro,29.0,2000-01-01,low
3131,2001,Pará,Fevereiro,16.0,2001-01-01,low
3132,2002,Pará,Fevereiro,120.0,2002-01-01,low
3133,2003,Pará,Fevereiro,34.0,2003-01-01,low
3134,2004,Pará,Fevereiro,20.0,2004-01-01,low
3135,2005,Pará,Fevereiro,85.0,2005-01-01,low
3136,2006,Pará,Fevereiro,49.0,2006-01-01,low
3137,2007,Pará,Fevereiro,23.0,2007-01-01,low
3138,2008,Pará,Fevereiro,54.0,2008-01-01,low
3139,2009,Pará,Fevereiro,15.0,2009-01-01,low
3140,2010,Pará,Fevereiro,102.0,2010-01-01,low
3141,2011,Pará,Fevereiro,13.0,2011-01-01,low
3142,2012,Pará,Fevereiro,63.0,2012-01-01,low
3143,2013,Pará,Fevereiro,30.0,2013-01-01,low
3144,2014,Pará,Fevereiro,37.0,2014-01-01,low
3145,2015,Pará,Fevereiro,108.0,2015-01-01,low
3146,2016,Pará,Fevereiro,430.0,2016-01-01,medium
3147,2017,Pará,Fevereiro,14.0,2017-01-01,low
3148,1998,Pará,Março,0.0,1998-01-01,low
3149,1999,Pará,Março,7.0,1999-01-01,low
3150,2000,Pará,Março,181.0,2000-01-01,low
3151,2001,Pará,Março,0.0,2001-01-01,low
3152,2002,Pará,Março,14.0,2002-01-01,low
3153,2003,Pará,Março,27.0,2003-01-01,low
3154,2004,Pará,Março,22.0,2004-01-01,low
3155,2005,Pará,Março,21.0,2005-01-01,low
3156,2006,Pará,Março,10.0,2006-01-01,low
3157,2007,Pará,Março,6.0,2007-01-01,low
3158,2008,Pará,Março,4.0,2008-01-01,low
3159,2009,Pará,Março,4.0,2009-01-01,low
3160,2010,Pará,Março,110.0,2010-01-01,low
3161,2011,Pará,Março,21.0,2011-01-01,low
3162,2012,Pará,Março,30.0,2012-01-01,low
3163,2013,Pará,Março,19.0,2013-01-01,low
3164,2014,Pará,Março,34.0,2014-01-01,low
3165,2015,Pará,Março,61.0,2015-01-01,low
3166,2016,Pará,Março,81.0,2016-01-01,low
3167,2017,Pará,Março,42.0,2017-01-01,low
3168,1998,Pará,Abril,0.0,1998-01-01,low
3169,1999,Pará,Abril,6.0,1999-01-01,low
3170,2000,Pará,Abril,40.0,2000-01-01,low
3171,2001,Pará,Abril,0.0,2001-01-01,low
3172,2002,Pará,Abril,11.0,2002-01-01,low
3173,2003,Pará,Abril,14.0,2003-01-01,low
3174,2004,Pará,Abril,23.0,2004-01-01,low
3175,2005,Pará,Abril,14.0,2005-01-01,low
3176,2006,Pará,Abril,2.0,2006-01-01,low
3177,2007,Pará,Abril,0.0,2007-01-01,low
3178,2008,Pará,Abril,7.0,2008-01-01,low
3179,2009,Pará,Abril,8.0,2009-01-01,low
3180,2010,Pará,Abril,22.0,2010-01-01,low
3181,2011,Pará,Abril,10.0,2011-01-01,low
3182,2012,Pará,Abril,11.0,2012-01-01,low
3183,2013,Pará,Abril,20.0,2013-01-01,low
3184,2014,Pará,Abril,27.0,2014-01-01,low
3185,2015,Pará,Abril,27.0,2015-01-01,low
3186,2016,Pará,Abril,66.0,2016-01-01,low
3187,2017,Pará,Abril,45.0,2017-01-01,low
3188,1998,Pará,Maio,0.0,1998-01-01,low
3189,1999,Pará,Maio,4.0,1999-01-01,low
3190,2000,Pará,Maio,12.0,2000-01-01,low
3191,2001,Pará,Maio,7.0,2001-01-01,low
3192,2002,Pará,Maio,18.0,2002-01-01,low
3193,2003,Pará,Maio,3.0,2003-01-01,low
3194,2004,Pará,Maio,44.0,2004-01-01,low
3195,2005,Pará,Maio,37.0,2005-01-01,low
3196,2006,Pará,Maio,0.0,2006-01-01,low
3197,2007,Pará,Maio,9.0,2007-01-01,low
3198,2008,Pará,Maio,0.0,2008-01-01,low
3199,2009,Pará,Maio,7.0,2009-01-01,low
3200,2010,Pará,Maio,57.0,2010-01-01,low
3201,2011,Pará,Maio,16.0,2011-01-01,low
3202,2012,Pará,Maio,59.0,2012-01-01,low
3203,2013,Pará,Maio,42.0,2013-01-01,low
3204,2014,Pará,Maio,70.0,2014-01-01,low
3205,2015,Pará,Maio,95.0,2015-01-01,low
3206,2016,Pará,Maio,154.0,2016-01-01,low
3207,2017,Pará,Maio,114.0,2017-01-01,low
3208,1998,Pará,Junho,58.0,1998-01-01,low
3209,1999,Pará,Junho,37.0,1999-01-01,low
3210,2000,Pará,Junho,59.0,2000-01-01,low
3211,2001,Pará,Junho,42.0,2001-01-01,low
3212,2002,Pará,Junho,149.0,2002-01-01,low
3213,2003,Pará,Junho,64.0,2003-01-01,low
3214,2004,Pará,Junho,340.0,2004-01-01,low
3215,2005,Pará,Junho,304.0,2005-01-01,low
3216,2006,Pará,Junho,78.0,2006-01-01,low
3217,2007,Pará,Junho,129.0,2007-01-01,low
3218,2008,Pará,Junho,48.0,2008-01-01,low
3219,2009,Pará,Junho,38.0,2009-01-01,low
3220,2010,Pará,Junho,94.0,2010-01-01,low
3221,2011,Pará,Junho,105.0,2011-01-01,low
3222,2012,Pará,Junho,183.0,2012-01-01,low
3223,2013,Pará,Junho,173.0,2013-01-01,low
3224,2014,Pará,Junho,319.0,2014-01-01,low
3225,2015,Pará,Junho,265.0,2015-01-01,low
3226,2016,Pará,Junho,502.0,2016-01-01,medium
3227,2017,Pará,Junho,679.0,2017-01-01,medium
3228,1998,Pará,Julho,638.0,1998-01-01,medium
3229,1999,Pará,Julho,982.0,1999-01-01,high
3230,2000,Pará,Julho,426.0,2000-01-01,medium
3231,2001,Pará,Julho,708.0,2001-01-01,medium
3232,2002,Pará,Julho,772.0,2002-01-01,medium
3233,2003,Pará,Julho,1.571,2003-01-01,low
3234,2004,Pará,Julho,4.436,2004-01-01,low
3235,2005,Pará,Julho,4.364,2005-01-01,low
3236,2006,Pará,Julho,615.0,2006-01-01,medium
3237,2007,Pará,Julho,476.0,2007-01-01,medium
3238,2008,Pará,Julho,971.0,2008-01-01,high
3239,2009,Pará,Julho,397.0,2009-01-01,low
3240,2010,Pará,Julho,1.432,2010-01-01,low
3241,2011,Pará,Julho,632.0,2011-01-01,medium
3242,2012,Pará,Julho,661.0,2012-01-01,medium
3243,2013,Pará,Julho,447.0,2013-01-01,medium
3244,2014,Pará,Julho,825.0,2014-01-01,high
3245,2015,Pará,Julho,906.0,2015-01-01,high
3246,2016,Pará,Julho,1.579,2016-01-01,low
3247,2017,Pará,Julho,4.985,2017-01-01,low
3248,1998,Pará,Agosto,6.815,1998-01-01,low
3249,1999,Pará,Agosto,6.178,1999-01-01,low
3250,2000,Pará,Agosto,5.484,2000-01-01,low
3251,2001,Pará,Agosto,9.043,2001-01-01,low
3252,2002,Pará,Agosto,15.664,2002-01-01,low
3253,2003,Pará,Agosto,6.255,2003-01-01,low
3254,2004,Pará,Agosto,12.812,2004-01-01,low
3255,2005,Pará,Agosto,13.055,2005-01-01,low
3256,2006,Pará,Agosto,7.575,2006-01-01,low
3257,2007,Pará,Agosto,14.352,2007-01-01,low
3258,2008,Pará,Agosto,4.435,2008-01-01,low
3259,2009,Pará,Agosto,3.859,2009-01-01,low
3260,2010,Pará,Agosto,18.13,2010-01-01,low
3261,2011,Pará,Agosto,2.195,2011-01-01,low
3262,2012,Pará,Agosto,6.964,2012-01-01,low
3263,2013,Pará,Agosto,2.161,2013-01-01,low
3264,2014,Pará,Agosto,8.555,2014-01-01,low
3265,2015,Pará,Agosto,7.913,2015-01-01,low
3266,2016,Pará,Agosto,4.863,2016-01-01,low
3267,2017,Pará,Agosto,11.962,2017-01-01,low
3268,1998,Pará,Setembro,6.237,1998-01-01,low
3269,1999,Pará,Setembro,4.419,1999-01-01,low
3270,2000,Pará,Setembro,2.569,2000-01-01,low
3271,2001,Pará,Setembro,6.139,2001-01-01,low
3272,2002,Pará,Setembro,5.609,2002-01-01,low
3273,2003,Pará,Setembro,8.447,2003-01-01,low
3274,2004,Pará,Setembro,9.471,2004-01-01,low
3275,2005,Pará,Setembro,9.032,2005-01-01,low
3276,2006,Pará,Setembro,8.372,2006-01-01,low
3277,2007,Pará,Setembro,14.59,2007-01-01,low
3278,2008,Pará,Setembro,6.294,2008-01-01,low
3279,2009,Pará,Setembro,6.051,2009-01-01,low
3280,2010,Pará,Setembro,10.81,2010-01-01,low
3281,2011,Pará,Setembro,5.185,2011-01-01,low
3282,2012,Pará,Setembro,6.87,2012-01-01,low
3283,2013,Pará,Setembro,3.36,2013-01-01,low
3284,2014,Pará,Setembro,6.787,2014-01-01,low
3285,2015,Pará,Setembro,11.068,2015-01-01,low
3286,2016,Pará,Setembro,3.953,2016-01-01,low
3287,2017,Pará,Setembro,25.004,2017-01-01,low
3288,1998,Pará,Outubro,3.665,1998-01-01,low
3289,1999,Pará,Outubro,5.026,1999-01-01,low
3290,2000,Pará,Outubro,4.313,2000-01-01,low
3291,2001,Pará,Outubro,5.096,2001-01-01,low
3292,2002,Pará,Outubro,5.189,2002-01-01,low
3293,2003,Pará,Outubro,3.803,2003-01-01,low
3294,2004,Pará,Outubro,4.726,2004-01-01,low
3295,2005,Pará,Outubro,5.083,2005-01-01,low
3296,2006,Pará,Outubro,5.964,2006-01-01,low
3297,2007,Pará,Outubro,2.504,2007-01-01,low
3298,2008,Pará,Outubro,6.653,2008-01-01,low
3299,2009,Pará,Outubro,6.342,2009-01-01,low
3300,2010,Pará,Outubro,3.843,2010-01-01,low
3301,2011,Pará,Outubro,3.141,2011-01-01,low
3302,2012,Pará,Outubro,3.714,2012-01-01,low
3303,2013,Pará,Outubro,4.921,2013-01-01,low
3304,2014,Pará,Outubro,6.448,2014-01-01,low
3305,2015,Pará,Outubro,7.781,2015-01-01,low
3306,2016,Pará,Outubro,5.281,2016-01-01,low
3307,2017,Pará,Outubro,7.628,2017-01-01,low
3308,1998,Pará,Novembro,1.861,1998-01-01,low
3309,1999,Pará,Novembro,2.682,1999-01-01,low
3310,2000,Pará,Novembro,3.366,2000-01-01,low
3311,2001,Pará,Novembro,4.938,2001-01-01,low
3312,2002,Pará,Novembro,7.996,2002-01-01,low
3313,2003,Pará,Novembro,6.195,2003-01-01,low
3314,2004,Pará,Novembro,9.842,2004-01-01,low
3315,2005,Pará,Novembro,4.968,2005-01-01,low
3316,2006,Pará,Novembro,2.883,2006-01-01,low
3317,2007,Pará,Novembro,2.89,2007-01-01,low
3318,2008,Pará,Novembro,2.403,2008-01-01,low
3319,2009,Pará,Novembro,10.012,2009-01-01,low
3320,2010,Pará,Novembro,4.417,2010-01-01,low
3321,2011,Pará,Novembro,3.043,2011-01-01,low
3322,2012,Pará,Novembro,6.156,2012-01-01,low
3323,2013,Pará,Novembro,3.688,2013-01-01,low
3324,2014,Pará,Novembro,7.767,2014-01-01,low
3325,2015,Pará,Novembro,9.643,2015-01-01,low
3326,2016,Pará,Novembro,7.879,2016-01-01,low
3327,2017,Pará,Novembro,9.079,2017-01-01,low
3328,1998,Pará,Dezembro,1.008,1998-01-01,low
3329,1999,Pará,Dezembro,766.0,1999-01-01,medium
3330,2000,Pará,Dezembro,1.698,2000-01-01,low
3331,2001,Pará,Dezembro,2.564,2001-01-01,low
3332,2002,Pará,Dezembro,3.118,2002-01-01,low
3333,2003,Pará,Dezembro,4.787,2003-01-01,low
3334,2004,Pará,Dezembro,5.508,2004-01-01,low
3335,2005,Pará,Dezembro,1.495,2005-01-01,low
3336,2006,Pará,Dezembro,1.417,2006-01-01,low
3337,2007,Pará,Dezembro,689.0,2007-01-01,medium
3338,2008,Pará,Dezembro,684.0,2008-01-01,medium
3339,2009,Pará,Dezembro,2.832,2009-01-01,low
3340,2010,Pará,Dezembro,1.612,2010-01-01,low
3341,2011,Pará,Dezembro,3.218,2011-01-01,low
3342,2012,Pará,Dezembro,1.812,2012-01-01,low
3343,2013,Pará,Dezembro,5.514,2013-01-01,low
3344,2014,Pará,Dezembro,4.828,2014-01-01,low
3345,2015,Pará,Dezembro,6.61,2015-01-01,low
3346,2016,Pará,Dezembro,3.3,2016-01-01,low
3347,1998,Paraiba,Janeiro,0.0,1998-01-01,low
3348,1999,Paraiba,Janeiro,26.0,1999-01-01,low
3349,2000,Paraiba,Janeiro,0.0,2000-01-01,low
3350,2001,Paraiba,Janeiro,11.0,2001-01-01,low
3351,2002,Paraiba,Janeiro,5.0,2002-01-01,low
3352,2003,Paraiba,Janeiro,70.0,2003-01-01,low
3353,2004,Paraiba,Janeiro,33.0,2004-01-01,low
3354,2005,Paraiba,Janeiro,178.0,2005-01-01,low
3355,2006,Paraiba,Janeiro,83.0,2006-01-01,low
3356,2007,Paraiba,Janeiro,69.0,2007-01-01,low
3357,2008,Paraiba,Janeiro,77.0,2008-01-01,low
3358,2009,Paraiba,Janeiro,115.0,2009-01-01,low
3359,2010,Paraiba,Janeiro,46.0,2010-01-01,low
3360,2011,Paraiba,Janeiro,11.0,2011-01-01,low
3361,2012,Paraiba,Janeiro,61.0,2012-01-01,low
3362,2013,Paraiba,Janeiro,38.0,2013-01-01,low
3363,2014,Paraiba,Janeiro,75.0,2014-01-01,low
3364,2015,Paraiba,Janeiro,42.0,2015-01-01,low
3365,2016,Paraiba,Janeiro,18.0,2016-01-01,low
3366,2017,Paraiba,Janeiro,23.0,2017-01-01,low
3367,1998,Paraiba,Fevereiro,0.0,1998-01-01,low
3368,1999,Paraiba,Fevereiro,2.0,1999-01-01,low
3369,2000,Paraiba,Fevereiro,11.0,2000-01-01,low
3370,2001,Paraiba,Fevereiro,6.0,2001-01-01,low
3371,2002,Paraiba,Fevereiro,18.0,2002-01-01,low
3372,2003,Paraiba,Fevereiro,3.0,2003-01-01,low
3373,2004,Paraiba,Fevereiro,3.0,2004-01-01,low
3374,2005,Paraiba,Fevereiro,15.0,2005-01-01,low
3375,2006,Paraiba,Fevereiro,7.0,2006-01-01,low
3376,2007,Paraiba,Fevereiro,7.0,2007-01-01,low
3377,2008,Paraiba,Fevereiro,20.0,2008-01-01,low
3378,2009,Paraiba,Fevereiro,9.0,2009-01-01,low
3379,2010,Paraiba,Fevereiro,15.0,2010-01-01,low
3380,2011,Paraiba,Fevereiro,5.0,2011-01-01,low
3381,2012,Paraiba,Fevereiro,15.0,2012-01-01,low
3382,2013,Paraiba,Fevereiro,9.0,2013-01-01,low
3383,2014,Paraiba,Fevereiro,6.0,2014-01-01,low
3384,2015,Paraiba,Fevereiro,15.0,2015-01-01,low
3385,2016,Paraiba,Fevereiro,4.0,2016-01-01,low
3386,2017,Paraiba,Fevereiro,8.0,2017-01-01,low
3387,1998,Paraiba,Março,0.0,1998-01-01,low
3388,1999,Paraiba,Março,1.0,1999-01-01,low
3389,2000,Paraiba,Março,5.0,2000-01-01,low
3390,2001,Paraiba,Março,0.0,2001-01-01,low
3391,2002,Paraiba,Março,3.0,2002-01-01,low
3392,2003,Paraiba,Março,0.0,2003-01-01,low
3393,2004,Paraiba,Março,3.0,2004-01-01,low
3394,2005,Paraiba,Março,13.0,2005-01-01,low
3395,2006,Paraiba,Março,4.0,2006-01-01,low
3396,2007,Paraiba,Março,1.0,2007-01-01,low
3397,2008,Paraiba,Março,8.0,2008-01-01,low
3398,2009,Paraiba,Março,2.0,2009-01-01,low
3399,2010,Paraiba,Março,16.0,2010-01-01,low
3400,2011,Paraiba,Março,6.0,2011-01-01,low
3401,2012,Paraiba,Março,4.0,2012-01-01,low
3402,2013,Paraiba,Março,3.0,2013-01-01,low
3403,2014,Paraiba,Março,18.0,2014-01-01,low
3404,2015,Paraiba,Março,7.0,2015-01-01,low
3405,2016,Paraiba,Março,1.0,2016-01-01,low
3406,2017,Paraiba,Março,2.0,2017-01-01,low
3407,1998,Paraiba,Abril,0.0,1998-01-01,low
3408,1999,Paraiba,Abril,3.0,1999-01-01,low
3409,2000,Paraiba,Abril,1.0,2000-01-01,low
3410,2001,Paraiba,Abril,0.0,2001-01-01,low
3411,2002,Paraiba,Abril,1.0,2002-01-01,low
3412,2003,Paraiba,Abril,0.0,2003-01-01,low
3413,2004,Paraiba,Abril,3.0,2004-01-01,low
3414,2005,Paraiba,Abril,2.0,2005-01-01,low
3415,2006,Paraiba,Abril,0.0,2006-01-01,low
3416,2007,Paraiba,Abril,0.0,2007-01-01,low
3417,2008,Paraiba,Abril,0.0,2008-01-01,low
3418,2009,Paraiba,Abril,1.0,2009-01-01,low
3419,2010,Paraiba,Abril,2.0,2010-01-01,low
3420,2011,Paraiba,Abril,2.0,2011-01-01,low
3421,2012,Paraiba,Abril,13.0,2012-01-01,low
3422,2013,Paraiba,Abril,6.0,2013-01-01,low
3423,2014,Paraiba,Abril,8.0,2014-01-01,low
3424,2015,Paraiba,Abril,11.0,2015-01-01,low
3425,2016,Paraiba,Abril,1.0,2016-01-01,low
3426,2017,Paraiba,Abril,1.0,2017-01-01,low
3427,1998,Paraiba,Maio,0.0,1998-01-01,low
3428,1999,Paraiba,Maio,0.0,1999-01-01,low
3429,2000,Paraiba,Maio,0.0,2000-01-01,low
3430,2001,Paraiba,Maio,4.0,2001-01-01,low
3431,2002,Paraiba,Maio,1.0,2002-01-01,low
3432,2003,Paraiba,Maio,0.0,2003-01-01,low
3433,2004,Paraiba,Maio,1.0,2004-01-01,low
3434,2005,Paraiba,Maio,0.0,2005-01-01,low
3435,2006,Paraiba,Maio,0.0,2006-01-01,low
3436,2007,Paraiba,Maio,0.0,2007-01-01,low
3437,2008,Paraiba,Maio,0.0,2008-01-01,low
3438,2009,Paraiba,Maio,0.0,2009-01-01,low
3439,2010,Paraiba,Maio,10.0,2010-01-01,low
3440,2011,Paraiba,Maio,0.0,2011-01-01,low
3441,2012,Paraiba,Maio,10.0,2012-01-01,low
3442,2013,Paraiba,Maio,3.0,2013-01-01,low
3443,2014,Paraiba,Maio,1.0,2014-01-01,low
3444,2015,Paraiba,Maio,6.0,2015-01-01,low
3445,2016,Paraiba,Maio,1.0,2016-01-01,low
3446,2017,Paraiba,Maio,1.0,2017-01-01,low
3447,1998,Paraiba,Junho,3.0,1998-01-01,low
3448,1999,Paraiba,Junho,1.0,1999-01-01,low
3449,2000,Paraiba,Junho,2.0,2000-01-01,low
3450,2001,Paraiba,Junho,0.0,2001-01-01,low
3451,2002,Paraiba,Junho,1.0,2002-01-01,low
3452,2003,Paraiba,Junho,0.0,2003-01-01,low
3453,2004,Paraiba,Junho,0.0,2004-01-01,low
3454,2005,Paraiba,Junho,0.0,2005-01-01,low
3455,2006,Paraiba,Junho,0.0,2006-01-01,low
3456,2007,Paraiba,Junho,0.0,2007-01-01,low
3457,2008,Paraiba,Junho,0.0,2008-01-01,low
3458,2009,Paraiba,Junho,0.0,2009-01-01,low
3459,2010,Paraiba,Junho,3.0,2010-01-01,low
3460,2011,Paraiba,Junho,2.0,2011-01-01,low
3461,2012,Paraiba,Junho,5.0,2012-01-01,low
3462,2013,Paraiba,Junho,3.0,2013-01-01,low
3463,2014,Paraiba,Junho,1.0,2014-01-01,low
3464,2015,Paraiba,Junho,0.0,2015-01-01,low
3465,2016,Paraiba,Junho,4.0,2016-01-01,low
3466,2017,Paraiba,Junho,0.0,2017-01-01,low
3467,1998,Paraiba,Julho,0.0,1998-01-01,low
3468,1999,Paraiba,Julho,1.0,1999-01-01,low
3469,2000,Paraiba,Julho,0.0,2000-01-01,low
3470,2001,Paraiba,Julho,8.0,2001-01-01,low
3471,2002,Paraiba,Julho,8.0,2002-01-01,low
3472,2003,Paraiba,Julho,6.0,2003-01-01,low
3473,2004,Paraiba,Julho,1.0,2004-01-01,low
3474,2005,Paraiba,Julho,0.0,2005-01-01,low
3475,2006,Paraiba,Julho,1.0,2006-01-01,low
3476,2007,Paraiba,Julho,1.0,2007-01-01,low
3477,2008,Paraiba,Julho,0.0,2008-01-01,low
3478,2009,Paraiba,Julho,3.0,2009-01-01,low
3479,2010,Paraiba,Julho,7.0,2010-01-01,low
3480,2011,Paraiba,Julho,6.0,2011-01-01,low
3481,2012,Paraiba,Julho,5.0,2012-01-01,low
3482,2013,Paraiba,Julho,1.0,2013-01-01,low
3483,2014,Paraiba,Julho,9.0,2014-01-01,low
3484,2015,Paraiba,Julho,3.0,2015-01-01,low
3485,2016,Paraiba,Julho,22.0,2016-01-01,low
3486,2017,Paraiba,Julho,2.0,2017-01-01,low
3487,1998,Paraiba,Agosto,3.0,1998-01-01,low
3488,1999,Paraiba,Agosto,4.0,1999-01-01,low
3489,2000,Paraiba,Agosto,7.0,2000-01-01,low
3490,2001,Paraiba,Agosto,34.0,2001-01-01,low
3491,2002,Paraiba,Agosto,38.0,2002-01-01,low
3492,2003,Paraiba,Agosto,14.0,2003-01-01,low
3493,2004,Paraiba,Agosto,18.0,2004-01-01,low
3494,2005,Paraiba,Agosto,0.0,2005-01-01,low
3495,2006,Paraiba,Agosto,3.0,2006-01-01,low
3496,2007,Paraiba,Agosto,8.0,2007-01-01,low
3497,2008,Paraiba,Agosto,1.0,2008-01-01,low
3498,2009,Paraiba,Agosto,4.0,2009-01-01,low
3499,2010,Paraiba,Agosto,9.0,2010-01-01,low
3500,2011,Paraiba,Agosto,12.0,2011-01-01,low
3501,2012,Paraiba,Agosto,13.0,2012-01-01,low
3502,2013,Paraiba,Agosto,3.0,2013-01-01,low
3503,2014,Paraiba,Agosto,30.0,2014-01-01,low
3504,2015,Paraiba,Agosto,5.0,2015-01-01,low
3505,2016,Paraiba,Agosto,50.0,2016-01-01,low
3506,2017,Paraiba,Agosto,3.0,2017-01-01,low
3507,1998,Paraiba,Setembro,50.0,1998-01-01,low
3508,1999,Paraiba,Setembro,14.0,1999-01-01,low
3509,2000,Paraiba,Setembro,9.0,2000-01-01,low
3510,2001,Paraiba,Setembro,98.0,2001-01-01,low
3511,2002,Paraiba,Setembro,63.0,2002-01-01,low
3512,2003,Paraiba,Setembro,81.0,2003-01-01,low
3513,2004,Paraiba,Setembro,34.0,2004-01-01,low
3514,2005,Paraiba,Setembro,13.0,2005-01-01,low
3515,2006,Paraiba,Setembro,27.0,2006-01-01,low
3516,2007,Paraiba,Setembro,22.0,2007-01-01,low
3517,2008,Paraiba,Setembro,21.0,2008-01-01,low
3518,2009,Paraiba,Setembro,28.0,2009-01-01,low
3519,2010,Paraiba,Setembro,37.0,2010-01-01,low
3520,2011,Paraiba,Setembro,55.0,2011-01-01,low
3521,2012,Paraiba,Setembro,71.0,2012-01-01,low
3522,2013,Paraiba,Setembro,25.0,2013-01-01,low
3523,2014,Paraiba,Setembro,51.0,2014-01-01,low
3524,2015,Paraiba,Setembro,48.0,2015-01-01,low
3525,2016,Paraiba,Setembro,131.0,2016-01-01,low
3526,2017,Paraiba,Setembro,30.0,2017-01-01,low
