,year,state,month,number,date,risc
155,2013,Acre,Agosto,679.0,2013-01-01,medium
156,2014,Acre,Agosto,1.1,2014-01-01,low
157,2015,Acre,Agosto,1.397,2015-01-01,low
158,2016,Acre,Agosto,2.188,2016-01-01,low
159,2017,Acre,Agosto,1.493,2017-01-01,low
160,1998,Acre,Setembro,509.0,1998-01-01,medium
161,1999,Acre,Setembro,209.0,1999-01-01,low
162,2000,Acre,Setembro,265.0,2000-01-01,low
163,2001,Acre,Setembro,290.0,2001-01-01,low
164,2002,Acre,Setembro,1.949,2002-01-01,low
165,2003,Acre,Setembro,3.942,2003-01-01,low
166,2004,Acre,Setembro,1.978,2004-01-01,low
167,2005,Acre,Setembro,4.253,2005-01-01,low
168,2006,Acre,Setembro,2.37,2006-01-01,low
169,2007,Acre,Setembro,2.08,2007-01-01,low
170,2008,Acre,Setembro,1.666,2008-01-01,low
171,2009,Acre,Setembro,1.265,2009-01-01,low
172,2010,Acre,Setembro,2.531,2010-01-01,low
173,2011,Acre,Setembro,1.204,2011-01-01,low
174,2012,Acre,Setembro,1.996,2012-01-01,low
175,2013,Acre,Setembro,2.136,2013-01-01,low
176,2014,Acre,Setembro,2.175,2014-01-01,low
177,2015,Acre,Setembro,2.928,2015-01-01,low
178,2016,Acre,Setembro,3.586,2016-01-01,low
179,2017,Acre,Setembro,3.429,2017-01-01,low
180,1998,Acre,Outubro,44.0,1998-01-01,low
181,1999,Acre,Outubro,60.0,1999-01-01,low
182,2000,Acre,Outubro,18.0,2000-01-01,low
183,2001,Acre,Outubro,137.0,2001-01-01,low
184,2002,Acre,Outubro,687.0,2002-01-01,medium
185,2003,Acre,Outubro,740.0,2003-01-01,medium
186,2004,Acre,Outubro,461.0,2004-01-01,medium
187,2005,Acre,Outubro,547.0,2005-01-01,medium
188,2006,Acre,Outubro,316.0,2006-01-01,low
189,2007,Acre,Outubro,203.0,2007-01-01,low
190,2008,Acre,Outubro,652.0,2008-01-01,medium
191,2009,Acre,Outubro,565.0,2009-01-01,medium
192,2010,Acre,Outubro,292.0,2010-01-01,low
193,2011,Acre,Outubro,97.0,2011-01-01,low
194,2012,Acre,Outubro,348.0,2012-01-01,low
195,2013,Acre,Outubro,258.0,2013-01-01,low
196,2014,Acre,Outubro,406.0,2014-01-01,medium
197,2015,Acre,Outubro,905.0,2015-01-01,high
198,2016,Acre,Outubro,509.0,2016-01-01,medium
199,2017,Acre,Outubro,1.508,2017-01-01,low
200,1998,Acre,Novembro,0.0,1998-01-01,low
201,1999,Acre,Novembro,0.0,1999-01-01,low
202,2000,Acre,Novembro,0.0,2000-01-01,low
203,2001,Acre,Novembro,1.0,2001-01-01,low
204,2002,Acre,Novembro,86.0,2002-01-01,low
205,2003,Acre,Novembro,15.0,2003-01-01,low
206,2004,Acre,Novembro,10.0,2004-01-01,low
207,2005,Acre,Novembro,14.0,2005-01-01,low
208,2006,Acre,Novembro,18.0,2006-01-01,low
209,2007,Acre,Novembro,7.0,2007-01-01,low
210,2008,Acre,Novembro,4.0,2008-01-01,low
211,2009,Acre,Novembro,33.0,2009-01-01,low
212,2010,Acre,Novembro,39.0,2010-01-01,low
213,2011,Acre,Novembro,74.0,2011-01-01,low
214,2012,Acre,Novembro,13.0,2012-01-01,low
215,2013,Acre,Novembro,79.0,2013-01-01,low
216,2014,Acre,Novembro,56.0,2014-01-01,low
217,2015,Acre,Novembro,115.0,2015-01-01,low
218,2016,Acre,Novembro,46.0,2016-01-01,low
219,2017,Acre,Novembro,98.0,2017-01-01,low
220,1998,Acre,Dezembro,7.0,1998-01-01,low
221,1999,Acre,Dezembro,0.0,1999-01-01,low
222,2000,Acre,Dezembro,0.0,2000-01-01,low
223,2001,Acre,Dezembro,0.0,2001-01-01,low
224,2002,Acre,Dezembro,1.0,2002-01-01,low
225,2003,Acre,Dezembro,1.0,2003-01-01,low
226,2004,Acre,Dezembro,7.0,2004-01-01,low
227,2005,Acre,Dezembro,2.0,2005-01-01,low
228,2006,Acre,Dezembro,0.0,2006-01-01,low
229,2007,Acre,Dezembro,0.0,2007-01-01,low
230,2008,Acre,Dezembro,0.0,2008-01-01,low
231,2009,Acre,Dezembro,1.0,2009-01-01,low
232,2010,Acre,Dezembro,0.0,2010-01-01,low
233,2011,Acre,Dezembro,4.0,2011-01-01,low
234,2012,Acre,Dezembro,1.0,2012-01-01,low
235,2013,Acre,Dezembro,3.0,2013-01-01,low
236,2014,Acre,Dezembro,6.0,2014-01-01,low
237,2015,Acre,Dezembro,8.0,2015-01-01,low
238,2016,Acre,Dezembro,6.0,2016-01-01,low
239,1998,Alagoas,Janeiro,0.0,1998-01-01,low
240,1999,Alagoas,Janeiro,58.0,1999-01-01,low
241,2000,Alagoas,Janeiro,11.0,2000-01-01,low
242,2001,Alagoas,Janeiro,5.0,2001-01-01,low
243,2002,Alagoas,Janeiro,12.0,2002-01-01,low
244,2003,Alagoas,Janeiro,150.0,2003-01-01,low
245,2004,Alagoas,Janeiro,9.0,2004-01-01,low
246,2005,Alagoas,Janeiro,83.0,2005-01-01,low
247,2006,Alagoas,Janeiro,29.0,2006-01-01,low
248,2007,Alagoas,Janeiro,33.0,2007-01-01,low
249,2008,Alagoas,Janeiro,55.0,2008-01-01,low
250,2009,Alagoas,Janeiro,104.0,2009-01-01,low
251,2010,Alagoas,Janeiro,23.0,2010-01-01,low
252,2011,Alagoas,Janeiro,41.0,2011-01-01,low
253,2012,Alagoas,Janeiro,36.0,2012-01-01,low
254,2013,Alagoas,Janeiro,49.0,2013-01-01,low
255,2014,Alagoas,Janeiro,54.0,2014-01-01,low
256,2015,Alagoas,Janeiro,81.0,2015-01-01,low
257,2016,Alagoas,Janeiro,24.0,2016-01-01,low
258,2017,Alagoas,Janeiro,38.0,2017-01-01,low
259,2017,Alagoas,Janeiro,38.0,2017-01-01,low
260,1998,Alagoas,Fevereiro,0.0,1998-01-01,low
261,1999,Alagoas,Fevereiro,20.0,1999-01-01,low
262,2000,Alagoas,Fevereiro,16.0,2000-01-01,low
263,2001,Alagoas,Fevereiro,4.0,2001-01-01,low
264,2002,Alagoas,Fevereiro,15.0,2002-01-01,low
265,2003,Alagoas,Fevereiro,33.0,2003-01-01,low
266,2004,Alagoas,Fevereiro,7.0,2004-01-01,low
267,2005,Alagoas,Fevereiro,31.0,2005-01-01,low
268,2006,Alagoas,Fevereiro,14.0,2006-01-01,low
269,2007,Alagoas,Fevereiro,28.0,2007-01-01,low
270,2008,Alagoas,Fevereiro,74.0,2008-01-01,low
271,2009,Alagoas,Fevereiro,32.0,2009-01-01,low
272,2010,Alagoas,Fevereiro,26.0,2010-01-01,low
273,2011,Alagoas,Fevereiro,33.0,2011-01-01,low
274,2012,Alagoas,Fevereiro,41.0,2012-01-01,low
275,2013,Alagoas,Fevereiro,19.0,2013-01-01,low
276,2014,Alagoas,Fevereiro,29.0,2014-01-01,low
277,2015,Alagoas,Fevereiro,46.0,2015-01-01,low
278,2016,Alagoas,Fevereiro,14.0,2016-01-01,low
279,2017,Alagoas,Fevereiro,21.0,2017-01-01,low
280,1998,Alagoas,Março,0.0,1998-01-01,low
281,1999,Alagoas,Março,52.0,1999-01-01,low
282,2000,Alagoas,Março,32.0,2000-01-01,low
283,2001,Alagoas,Março,0.0,2001-01-01,low
284,2002,Alagoas,Março,27.0,2002-01-01,low
285,2003,Alagoas,Março,15.0,2003-01-01,low
286,2004,Alagoas,Março,16.0,2004-01-01,low
287,2005,Alagoas,Março,35.0,2005-01-01,low
288,2006,Alagoas,Março,37.0,2006-01-01,low
289,2007,Alagoas,Março,7.0,2007-01-01,low
290,2008,Alagoas,Março,31.0,2008-01-01,low
291,2009,Alagoas,Março,31.0,2009-01-01,low
292,2010,Alagoas,Março,70.0,2010-01-01,low
293,2011,Alagoas,Março,34.0,2011-01-01,low
294,2012,Alagoas,Março,44.0,2012-01-01,low
295,2013,Alagoas,Março,31.0,2013-01-01,low
296,2014,Alagoas,Março,28.0,2014-01-01,low
297,2015,Alagoas,Março,32.0,2015-01-01,low
298,2016,Alagoas,Março,9.0,2016-01-01,low
299,2017,Alagoas,Março,23.0,2017-01-01,low
300,1998,Alagoas,Abril,0.0,1998-01-01,low
301,1999,Alagoas,Abril,4.0,1999-01-01,low
302,2000,Alagoas,Abril,20.0,2000-01-01,low
303,2001,Alagoas,Abril,0.0,2001-01-01,low
304,2002,Alagoas,Abril,6.0,2002-01-01,low
305,2003,Alagoas,Abril,20.0,2003-01-01,low
306,2004,Alagoas,Abril,6.0,2004-01-01,low
307,2005,Alagoas,Abril,1.0,2005-01-01,low
308,2006,Alagoas,Abril,2.0,2006-01-01,low
309,2007,Alagoas,Abril,1.0,2007-01-01,low
310,2008,Alagoas,Abril,18.0,2008-01-01,low
311,2009,Alagoas,Abril,5.0,2009-01-01,low
312,2010,Alagoas,Abril,3.0,2010-01-01,low
313,2011,Alagoas,Abril,17.0,2011-01-01,low
314,2012,Alagoas,Abril,18.0,2012-01-01,low
315,2013,Alagoas,Abril,25.0,2013-01-01,low
316,2014,Alagoas,Abril,16.0,2014-01-01,low
317,2015,Alagoas,Abril,63.0,2015-01-01,low
318,2016,Alagoas,Abril,13.0,2016-01-01,low
319,2017,Alagoas,Abril,7.0,2017-01-01,low
320,1998,Alagoas,Maio,0.0,1998-01-01,low
321,1999,Alagoas,Maio,1.0,1999-01-01,low
322,2000,Alagoas,Maio,1.0,2000-01-01,low
323,2001,Alagoas,Maio,2.0,2001-01-01,low
324,2002,Alagoas,Maio,1.0,2002-01-01,low
325,2003,Alagoas,Maio,1.0,2003-01-01,low
326,2004,Alagoas,Maio,3.0,2004-01-01,low
327,2005,Alagoas,Maio,0.0,2005-01-01,low
328,2006,Alagoas,Maio,0.0,2006-01-01,low
329,2007,Alagoas,Maio,0.0,2007-01-01,low
330,2008,Alagoas,Maio,0.0,2008-01-01,low
331,2009,Alagoas,Maio,0.0,2009-01-01,low
332,2010,Alagoas,Maio,0.0,2010-01-01,low
333,2011,Alagoas,Maio,0.0,2011-01-01,low
334,2012,Alagoas,Maio,21.0,2012-01-01,low
335,2013,Alagoas,Maio,2.0,2013-01-01,low
336,2014,Alagoas,Maio,1.0,2014-01-01,low
337,2015,Alagoas,Maio,18.0,2015-01-01,low
338,2016,Alagoas,Maio,4.0,2016-01-01,low
339,2017,Alagoas,Maio,1.0,2017-01-01,low
340,1998,Alagoas,Junho,0.0,1998-01-01,low
341,1999,Alagoas,Junho,0.0,1999-01-01,low
342,2000,Alagoas,Junho,0.0,2000-01-01,low
343,2001,Alagoas,Junho,2.0,2001-01-01,low
344,2002,Alagoas,Junho,0.0,2002-01-01,low
345,2003,Alagoas,Junho,0.0,2003-01-01,low
346,2004,Alagoas,Junho,0.0,2004-01-01,low
347,2005,Alagoas,Junho,0.0,2005-01-01,low
348,2006,Alagoas,Junho,0.0,2006-01-01,low
349,2007,Alagoas,Junho,0.0,2007-01-01,low
350,2008,Alagoas,Junho,0.0,2008-01-01,low
351,2009,Alagoas,Junho,0.0,2009-01-01,low
352,2010,Alagoas,Junho,0.0,2010-01-01,low
353,2011,Alagoas,Junho,2.0,2011-01-01,low
354,2012,Alagoas,Junho,4.0,2012-01-01,low
355,2013,Alagoas,Junho,1.0,2013-01-01,low
356,2014,Alagoas,Junho,2.0,2014-01-01,low
357,2015,Alagoas,Junho,2.0,2015-01-01,low
358,2016,Alagoas,Junho,5.0,2016-01-01,low
359,2017,Alagoas,Junho,2.0,2017-01-01,low
360,1998,Alagoas,Julho,0.0,1998-01-01,low
361,1999,Alagoas,Julho,0.0,1999-01-01,low
362,2000,Alagoas,Julho,0.0,2000-01-01,low
363,2001,Alagoas,Julho,0.0,2001-01-01,low
364,2002,Alagoas,Julho,5.0,2002-01-01,low
365,2003,Alagoas,Julho,0.0,2003-01-01,low
366,2004,Alagoas,Julho,0.0,2004-01-01,low
367,2005,Alagoas,Julho,0.0,2005-01-01,low
368,2006,Alagoas,Julho,0.0,2006-01-01,low
369,2007,Alagoas,Julho,0.0,2007-01-01,low
370,2008,Alagoas,Julho,0.0,2008-01-01,low
371,2009,Alagoas,Julho,0.0,2009-01-01,low
372,2010,Alagoas,Julho,2.0,2010-01-01,low
373,2011,Alagoas,Julho,0.0,2011-01-01,low
374,2012,Alagoas,Julho,0.0,2012-01-01,low
375,2013,Alagoas,Julho,0.0,2013-01-01,low
376,2014,Alagoas,Julho,1.0,2014-01-01,low
377,2015,Alagoas,Julho,0.0,2015-01-01,low
378,2016,Alagoas,Julho,3.0,2016-01-01,low
379,2017,Alagoas,Julho,0.0,2017-01-01,low
380,1998,Alagoas,Agosto,1.0,1998-01-01,low
381,1999,Alagoas,Agosto,3.0,1999-01-01,low
382,2000,Alagoas,Agosto,4.0,2000-01-01,low
383,2001,Alagoas,Agosto,1.0,2001-01-01,low
384,2002,Alagoas,Agosto,3.0,2002-01-01,low
385,2003,Alagoas,Agosto,2.0,2003-01-01,low
386,2004,Alagoas,Agosto,2.0,2004-01-01,low
387,2005,Alagoas,Agosto,2.0,2005-01-01,low
388,2006,Alagoas,Agosto,1.0,2006-01-01,low
389,2007,Alagoas,Agosto,3.0,2007-01-01,low
390,2008,Alagoas,Agosto,1.0,2008-01-01,low
391,2009,Alagoas,Agosto,0.0,2009-01-01,low
392,2010,Alagoas,Agosto,1.0,2010-01-01,low
393,2011,Alagoas,Agosto,4.0,2011-01-01,low
394,2012,Alagoas,Agosto,0.0,2012-01-01,low
395,2013,Alagoas,Agosto,0.0,2013-01-01,low
396,2014,Alagoas,Agosto,3.0,2014-01-01,low
397,2015,Alagoas,Agosto,3.0,2015-01-01,low
398,2016,Alagoas,Agosto,5.0,2016-01-01,low
399,2017,Alagoas,Agosto,1.0,2017-01-01,low
400,1998,Alagoas,Setembro,14.0,1998-01-01,low
401,1999,Alagoas,Setembro,3.0,1999-01-01,low
402,2000,Alagoas,Setembro,22.0,2000-01-01,low
403,2001,Alagoas,Setembro,5.0,2001-01-01,low
404,2002,Alagoas,Setembro,14.0,2002-01-01,low
405,2003,Alagoas,Setembro,8.0,2003-01-01,low
406,2004,Alagoas,Setembro,5.0,2004-01-01,low
407,2005,Alagoas,Setembro,7.0,2005-01-01,low
408,2006,Alagoas,Setembro,4.0,2006-01-01,low
409,2007,Alagoas,Setembro,2.0,2007-01-01,low
410,2008,Alagoas,Setembro,9.0,2008-01-01,low
411,2009,Alagoas,Setembro,13.0,2009-01-01,low
412,2010,Alagoas,Setembro,5.0,2010-01-01,low
413,2011,Alagoas,Setembro,5.0,2011-01-01,low
414,2012,Alagoas,Setembro,6.0,2012-01-01,low
415,2013,Alagoas,Setembro,4.0,2013-01-01,low
416,2014,Alagoas,Setembro,11.0,2014-01-01,low
417,2015,Alagoas,Setembro,7.0,2015-01-01,low
418,2016,Alagoas,Setembro,18.0,2016-01-01,low
419,2017,Alagoas,Setembro,4.0,2017-01-01,low
420,1998,Alagoas,Outubro,20.0,1998-01-01,low
421,1999,Alagoas,Outubro,4.0,1999-01-01,low
422,2000,Alagoas,Outubro,13.0,2000-01-01,low
423,2001,Alagoas,Outubro,15.0,2001-01-01,low
424,2002,Alagoas,Outubro,30.0,2002-01-01,low
425,2003,Alagoas,Outubro,10.0,2003-01-01,low
426,2004,Alagoas,Outubro,12.0,2004-01-01,low
427,2005,Alagoas,Outubro,17.0,2005-01-01,low
428,2006,Alagoas,Outubro,32.0,2006-01-01,low
429,2007,Alagoas,Outubro,6.0,2007-01-01,low
430,2008,Alagoas,Outubro,18.0,2008-01-01,low
431,2009,Alagoas,Outubro,30.0,2009-01-01,low
432,2010,Alagoas,Outubro,16.0,2010-01-01,low
433,2011,Alagoas,Outubro,23.0,2011-01-01,low
434,2012,Alagoas,Outubro,28.0,2012-01-01,low
